System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
WordPress,0.71-gold,11613,54,31706,7508,49,1,0,0,3,0,0,0,0,0,53,0,0,0,0,0,0,0,133,43,5,0,5,0,0,0,0,0
WordPress,1.0-platinum,17461,76,47377,10806,70,1,0,0,5,0,0,0,0,0,76,0,0,0,0,0,0,0,144,38,6,0,6,0,0,0,0,0
WordPress,1.0.1-miles,17433,75,47855,10825,70,1,0,0,5,0,0,0,0,0,76,0,0,0,0,0,0,0,146,36,6,0,6,0,0,0,0,0
WordPress,1.0.2,17466,75,48120,10850,70,1,0,0,5,0,0,0,0,0,76,0,0,0,0,0,0,0,146,36,6,0,6,0,0,0,0,0
WordPress,1.2.1,18866,99,53253,12906,91,1,0,0,6,0,0,0,0,0,98,0,0,0,0,0,0,0,204,39,8,0,8,0,0,0,0,0
WordPress,1.2.2,20380,100,58817,13939,91,1,0,0,6,0,0,0,0,0,98,0,0,0,0,0,0,0,207,42,8,0,8,0,0,0,0,0
WordPress,1.5-strayhorn,22646,123,63680,16487,81,1,1,0,7,0,0,0,0,0,90,0,0,0,0,0,0,0,220,77,2,0,2,0,0,0,0,0
WordPress,1.5.1,23459,125,66505,16834,81,1,1,0,7,0,0,0,0,0,90,0,0,0,0,0,0,0,223,86,2,0,2,0,0,0,0,0
WordPress,1.5.1.2,23449,125,66400,16827,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,1.5.1.1,23444,125,66391,16825,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,1.5.1.3,23472,125,66473,16854,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,1.5.2,23515,125,66625,16901,80,1,1,0,7,0,0,0,0,0,89,0,0,0,0,0,0,0,223,86,3,0,3,0,0,0,0,0
WordPress,2.0,27619,138,78474,19740,56,8,1,0,12,0,0,0,0,0,77,0,0,0,0,0,0,0,230,100,3,4,7,0,0,0,0,0
WordPress,2.0.1,28533,141,81365,20523,60,8,1,0,12,0,0,0,0,0,81,0,0,0,0,0,0,0,234,100,3,4,7,0,0,0,0,0
WordPress,2.0.4,29107,141,83354,20928,60,8,1,0,12,0,0,0,0,0,81,0,0,0,0,0,0,0,234,100,3,4,7,0,0,0,0,0
WordPress,2.0.5,29733,142,85430,21434,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,5,8,0,0,0,0,0
WordPress,2.0.6,29790,142,85567,21481,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,5,8,0,0,0,0,0
WordPress,2.0.7,29875,142,86024,21592,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.8,29937,142,86288,21632,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.9,29938,142,86298,21633,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.10,29996,142,86549,21684,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.0.11,30063,142,86919,21757,64,8,1,0,12,0,0,0,0,0,85,0,0,0,0,0,0,0,234,100,3,6,9,0,0,0,0,0
WordPress,2.1,33777,176,98246,24744,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.1.1,33787,176,98309,24753,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.1.2,33794,176,98337,24758,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.1.3,33860,176,98642,24815,14,8,1,1,28,0,0,0,0,0,52,0,0,0,0,0,0,0,275,115,3,3,6,0,0,0,0,0
WordPress,2.2,38104,182,113124,28296,14,8,1,1,31,0,0,0,0,0,55,0,0,0,0,0,0,0,289,132,2,9,11,0,0,0,0,0
WordPress,2.2.1,38249,182,113521,28392,14,8,1,1,31,0,0,0,0,0,55,0,0,0,0,0,0,0,289,132,2,9,11,0,0,0,0,0
WordPress,2.2.2,38261,182,113611,28404,14,8,1,1,31,0,0,0,0,0,55,0,0,0,0,0,0,0,289,132,2,9,11,0,0,0,0,0
WordPress,2.2.3,38310,182,113765,28438,14,8,1,1,31,0,0,0,0,0,55,0,0,0,0,0,0,0,289,132,2,9,11,0,0,0,0,0
WordPress,2.3,41753,209,124883,30999,16,8,1,1,42,0,0,0,0,0,68,0,0,0,0,0,0,0,321,151,2,9,11,0,0,0,0,0
WordPress,2.3.1,41764,209,124932,31017,16,8,1,1,42,0,0,0,0,0,68,0,0,0,0,0,0,0,321,151,2,9,11,0,0,0,0,0
WordPress,2.3.2,41961,209,125472,31167,16,8,1,1,42,0,0,0,0,0,68,0,0,0,0,0,0,0,323,152,2,9,11,0,0,0,0,0
WordPress,2.3.3,41977,209,125509,31177,16,8,1,1,42,0,0,0,0,0,68,0,0,0,0,0,0,0,323,153,2,9,11,0,0,0,0,0
WordPress,2.5,53072,230,163473,38822,28,10,1,2,44,0,0,0,0,0,85,0,0,0,0,0,0,0,357,179,8,17,25,0,0,0,0,0
WordPress,2.5.1,53228,230,164050,38939,28,11,1,2,46,0,0,0,0,0,88,0,0,0,0,0,0,0,357,179,8,17,25,0,0,0,0,0
WordPress,2.6,57346,249,175755,41845,28,18,2,4,53,0,0,0,0,0,105,0,0,0,0,0,0,0,387,201,8,19,27,0,0,0,0,0
WordPress,2.6.1,57396,249,175958,41891,28,18,2,4,53,0,0,0,0,0,105,0,0,0,0,0,0,0,387,205,8,19,27,0,0,0,0,0
WordPress,2.6.2,57437,249,176145,41925,28,18,2,4,53,0,0,0,0,0,105,0,0,0,0,0,0,0,387,205,8,19,27,0,0,0,0,0
WordPress,2.6.3,57468,249,176180,41940,28,18,2,4,53,0,0,0,0,0,105,0,0,0,0,0,0,0,387,205,8,19,27,0,0,0,0,0
WordPress,2.6.5,57478,249,176222,41947,28,18,2,4,53,0,0,0,0,0,105,0,0,0,0,0,0,0,387,205,8,19,27,0,0,0,0,0
WordPress,2.7,66097,256,203246,48256,38,24,2,4,70,0,0,0,0,0,138,0,0,0,0,0,0,0,399,201,8,23,31,0,0,0,0,0
WordPress,2.7.1,66321,256,204111,48411,38,24,2,4,70,0,0,0,0,0,138,0,0,0,0,0,0,0,399,202,8,37,45,0,0,0,0,0
WordPress,2.8,83235,272,253891,57105,34,28,6,101,80,0,0,0,0,0,249,1,0,0,0,0,0,1,433,230,8,48,56,0,0,0,0,0
WordPress,2.8.1,83741,272,255666,57491,34,32,6,101,80,0,0,0,0,0,253,1,0,0,0,0,0,1,433,231,8,49,57,0,0,0,0,0
WordPress,2.8.2,83745,272,255692,57500,34,32,6,101,80,0,0,0,0,0,253,1,0,0,0,0,0,1,433,231,8,49,57,0,0,0,0,0
WordPress,2.8.3,83811,272,255877,57565,34,32,6,101,80,0,0,0,0,0,253,1,0,0,0,0,0,1,433,231,8,49,57,0,0,0,0,0
WordPress,2.8.4,83813,272,255899,57567,34,32,6,101,80,0,0,0,0,0,253,1,0,0,0,0,0,1,433,231,8,49,57,0,0,0,0,0
WordPress,2.8.5,83656,270,255506,57443,34,32,6,101,80,0,0,0,0,0,253,1,0,0,0,0,0,1,433,231,6,44,50,0,0,0,0,0
WordPress,2.8.6,83690,270,255589,57472,34,32,6,101,80,0,0,0,0,0,253,1,0,0,0,0,0,1,433,231,6,44,50,0,0,0,0,0
WordPress,2.9,88081,276,270250,60471,39,38,6,101,92,0,0,0,0,0,276,1,0,0,0,0,0,1,446,236,0,25,25,0,0,0,0,0
WordPress,2.9.1,88135,276,270620,60518,39,38,6,101,93,0,0,0,0,0,277,1,0,0,0,0,0,1,446,236,0,25,25,0,0,0,0,0
WordPress,2.9.2,88139,276,270645,60521,39,38,6,101,93,0,0,0,0,0,277,1,0,0,0,0,0,1,446,236,0,25,25,0,0,0,0,0
WordPress,3.0,96390,289,301085,66685,37,32,6,102,118,0,0,0,0,0,295,1,0,0,0,0,0,1,497,270,0,27,27,0,0,0,0,0
WordPress,3.0.1,96470,289,301427,66746,37,32,6,102,119,0,0,0,0,0,296,1,0,0,0,0,0,1,497,270,0,27,27,0,0,0,0,0
WordPress,3.0.2,96991,291,303015,67160,37,37,6,102,119,0,0,0,0,0,301,1,0,0,0,0,0,1,498,271,0,27,27,0,0,0,0,0
WordPress,3.0.3,97024,291,303128,67185,37,37,6,102,119,0,0,0,0,0,301,1,0,0,0,0,0,1,498,271,0,27,27,0,0,0,0,0
WordPress,3.0.4,97013,291,303109,67177,37,37,6,102,119,0,0,0,0,0,301,1,0,0,0,0,0,1,498,271,0,27,27,0,0,0,0,0
WordPress,3.0.5,97024,291,303149,67187,37,37,6,102,119,0,0,0,0,0,301,1,0,0,0,0,0,1,498,271,0,27,27,0,0,0,0,0
WordPress,3.0.6,97031,291,303177,67197,37,37,6,102,119,0,0,0,0,0,301,1,0,0,0,0,0,1,498,271,0,27,27,0,0,0,0,0
WordPress,3.1,100308,345,313800,68872,37,33,5,105,135,0,0,0,0,0,315,1,0,0,0,0,0,1,558,331,0,14,14,0,0,0,0,0
WordPress,3.1.1,100350,345,313985,68908,37,33,5,105,135,0,0,0,0,0,315,1,0,0,0,0,0,1,558,331,0,14,14,0,0,0,0,0
WordPress,3.1.2,100348,345,313993,68909,37,33,5,105,135,0,0,0,0,0,315,1,0,0,0,0,0,1,558,331,0,14,14,0,0,0,0,0
WordPress,3.1.3,100395,345,314163,68948,37,33,5,105,135,0,0,0,0,0,315,1,0,0,0,0,0,1,558,331,0,14,14,0,0,0,0,0
WordPress,3.1.4,100483,345,314457,69015,37,33,5,105,135,0,0,0,0,0,315,1,0,0,0,0,0,1,558,331,0,14,14,0,0,0,0,0
WordPress,3.2,102780,377,319274,70804,36,33,4,106,135,0,0,0,0,0,314,1,0,0,0,0,0,1,572,338,0,14,14,0,0,0,0,0
WordPress,3.2.1,103244,378,320764,71067,36,33,4,106,137,0,0,0,0,0,316,1,0,0,0,0,0,1,574,340,0,14,14,0,0,0,0,0
WordPress,3.3,105508,374,325673,72091,35,33,4,106,122,0,0,0,0,0,300,2,2,1,0,0,0,5,576,345,0,11,11,0,0,0,0,0
WordPress,3.3.1,105546,374,325710,72103,35,33,4,106,122,0,0,0,0,0,300,2,2,1,0,0,0,5,576,345,0,11,11,0,0,0,0,0
WordPress,3.3.2,105622,374,325933,72156,35,33,4,106,122,0,0,0,0,0,300,2,2,1,0,0,0,5,577,346,0,11,11,0,0,0,0,0
WordPress,3.3.3,105599,374,325575,72133,35,33,4,106,122,0,0,0,0,0,300,2,2,1,0,0,0,5,577,346,0,11,11,0,0,0,0,0
WordPress,3.4,110190,387,339000,74868,37,33,4,108,119,0,0,0,0,0,301,2,3,2,0,0,0,7,589,360,0,11,11,0,0,0,0,0
WordPress,3.4.1,110152,387,338660,74829,37,33,4,108,119,0,0,0,0,0,301,2,3,2,0,0,0,7,589,360,0,11,11,0,0,0,0,0
WordPress,3.4.2,110213,387,338913,74872,37,32,4,108,120,0,0,0,0,0,301,2,3,2,0,0,0,7,591,362,0,11,11,0,0,0,0,0
WordPress,3.5,112518,425,345630,76161,37,32,5,14,128,0,0,0,0,0,216,4,6,5,2,2,1,20,620,400,0,10,10,0,0,0,0,0
WordPress,3.5.1,112625,425,346122,76260,37,32,5,14,128,0,0,0,0,0,216,4,6,5,2,2,1,20,620,400,0,10,10,0,0,0,0,0
WordPress,3.5.2,112753,425,346462,76349,37,32,5,14,128,0,0,0,0,0,216,4,6,5,2,2,1,20,620,400,0,10,10,0,0,0,0,0
WordPress,3.6,128166,442,416124,86149,49,33,5,17,133,0,1,0,0,0,238,4,6,5,2,2,1,20,632,413,0,10,10,0,0,0,0,0
WordPress,3.6.1,128208,442,416290,86188,49,33,5,17,133,0,1,0,0,0,238,4,6,5,2,2,1,20,632,413,0,10,10,0,0,0,0,0
WordPress,3.7,130695,444,424402,87791,49,33,5,17,134,0,1,0,0,0,239,4,6,5,2,2,1,20,650,647,0,10,10,0,0,0,0,0
WordPress,3.7.1,130695,444,424402,87791,49,33,5,17,134,0,1,0,0,0,239,4,6,5,2,2,1,20,650,647,0,10,10,0,0,0,0,0
WordPress,3.7.2,130867,444,425048,87905,49,33,5,17,135,0,1,0,0,0,240,4,6,5,2,2,1,20,651,648,0,10,10,0,0,0,0,0
WordPress,3.7.3,130891,444,425114,87923,49,33,5,17,135,0,1,0,0,0,240,4,6,5,2,2,1,20,651,648,0,10,10,0,0,0,0,0
WordPress,3.7.4,130961,444,425379,87976,49,33,5,17,135,0,1,0,0,0,240,4,6,5,2,2,1,20,651,648,0,10,10,0,0,0,0,0
WordPress,3.8,132846,482,428334,88949,49,33,5,17,134,0,1,0,0,0,239,4,6,5,2,2,1,20,656,653,0,10,10,0,0,0,0,0
WordPress,3.8.1,132898,483,428426,88977,49,33,5,17,134,0,1,0,0,0,239,4,6,5,2,2,1,20,656,653,0,10,10,0,0,0,0,0
WordPress,3.8.2,133023,482,428906,89048,49,33,5,17,135,0,1,0,0,0,240,4,6,5,2,2,1,20,655,652,0,10,10,0,0,0,0,0
WordPress,3.8.3,133047,482,428972,89066,49,33,5,17,135,0,1,0,0,0,240,4,6,5,2,2,1,20,655,652,0,10,10,0,0,0,0,0
WordPress,3.8.4,133117,482,429237,89119,49,33,5,17,135,0,1,0,0,0,240,4,6,5,2,2,1,20,655,652,0,10,10,0,0,0,0,0
WordPress,3.9,135513,479,430975,89888,51,33,5,16,138,0,1,0,0,0,244,4,6,5,2,2,1,20,659,655,0,6,6,0,0,0,0,0
WordPress,3.9.1,135540,479,431079,89902,51,33,5,16,138,0,1,0,0,0,244,4,6,5,2,2,1,20,659,655,0,6,6,0,0,0,0,0
WordPress,3.9.2,135639,479,431548,89968,51,33,5,16,138,0,1,0,0,0,244,4,6,5,2,2,1,20,659,655,0,6,6,0,0,0,0,0
WordPress,4.0,138414,481,439418,91117,1,25,5,17,193,0,1,0,0,0,242,15,18,17,14,11,1,76,663,659,0,6,6,0,0,0,0,0
