System,Version,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,Total Includes,Dynamic Includes,Eval,Create Function Uses,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray
MediaWiki,1.1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
MediaWiki,1.2.0,21,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.1,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.2,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.3,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,198,13,2,0,0,0,0,0
MediaWiki,1.2.4,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,199,13,2,0,0,0,0,0
MediaWiki,1.2.5,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,199,13,2,0,0,0,0,0
MediaWiki,1.2.6,17,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,201,13,2,0,0,0,0,0
MediaWiki,1.3.0,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,291,69,3,2,0,0,0,0
MediaWiki,1.3.1,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,293,71,3,2,0,0,0,0
MediaWiki,1.3.2,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,293,71,3,2,0,0,0,0
MediaWiki,1.3.3,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,295,71,3,2,0,0,0,0
MediaWiki,1.3.4,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,296,71,3,2,0,0,0,0
MediaWiki,1.3.5,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,296,71,3,2,0,0,0,0
MediaWiki,1.3.6,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,297,71,3,2,0,0,0,0
MediaWiki,1.3.7,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,297,71,3,2,0,0,0,0
MediaWiki,1.3.8,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,3,3,0,0
MediaWiki,1.3.9,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,3,3,0,0
MediaWiki,1.3.10,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.11,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.12,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.13,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.14,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.15,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.16,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.17,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.3.18,13,11,8,7,11,0,0,0,0,0,0,0,0,0,0,0,301,71,3,2,0,0,0,0
MediaWiki,1.4.0,6,8,4,8,10,0,0,0,0,0,0,0,0,0,0,0,361,22,3,2,0,0,0,0
MediaWiki,1.4.1,6,8,4,8,10,0,0,0,0,0,0,0,0,0,0,0,373,22,3,2,0,0,0,0
MediaWiki,1.4.2,6,8,4,8,10,0,0,0,0,0,0,0,0,0,0,0,373,22,3,2,0,0,0,0
MediaWiki,1.4.3,6,8,4,9,10,0,0,0,0,0,0,0,0,0,0,0,377,23,3,2,0,0,0,0
MediaWiki,1.4.4,6,8,4,9,10,0,0,0,0,0,0,0,0,0,0,0,378,23,3,2,0,0,0,0
MediaWiki,1.4.5,6,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,382,24,3,2,0,0,0,0
MediaWiki,1.4.6,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,0,0,0,0
MediaWiki,1.4.7,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,1,5,0,0
MediaWiki,1.4.8,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,1,5,0,0
MediaWiki,1.4.9,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,1,5,0,0
MediaWiki,1.4.10,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,1,5,0,0
MediaWiki,1.4.11,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,0,0,0,0
MediaWiki,1.4.12,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,0,0,0,0
MediaWiki,1.4.13,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,0,0,0,0
MediaWiki,1.4.14,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,0,0,0,0
MediaWiki,1.4.15,7,8,4,10,10,0,0,0,0,0,0,0,0,0,0,0,383,24,3,2,0,0,0,0
MediaWiki,1.5.0,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,479,25,3,2,0,0,0,0
MediaWiki,1.5.1,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,480,25,3,2,0,0,0,0
MediaWiki,1.5.2,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,478,25,3,2,0,0,0,0
MediaWiki,1.5.3,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,475,25,3,2,0,0,0,0
MediaWiki,1.5.4,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,480,25,3,2,0,0,0,0
MediaWiki,1.5.5,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,482,25,3,2,0,0,0,0
MediaWiki,1.5.6,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,482,25,3,2,15,6,0,0
MediaWiki,1.5.7,11,8,5,10,15,0,0,0,0,0,0,0,0,0,0,0,490,25,3,2,15,6,0,0
MediaWiki,1.5.8,11,7,5,10,15,0,0,0,0,0,0,0,0,0,0,0,489,25,3,2,15,7,0,0
MediaWiki,1.6.0,13,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,723,47,4,3,0,0,0,0
MediaWiki,1.6.1,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,723,47,4,3,0,0,0,0
MediaWiki,1.6.2,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,723,47,4,3,0,0,0,0
MediaWiki,1.6.3,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,723,47,4,3,0,0,0,0
MediaWiki,1.6.4,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,725,47,4,3,0,0,0,0
MediaWiki,1.6.5,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,725,47,4,3,17,13,0,0
MediaWiki,1.6.6,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,725,47,4,3,17,13,0,0
MediaWiki,1.6.7,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,725,47,4,3,17,13,0,0
MediaWiki,1.6.8,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,725,47,4,3,17,13,0,0
MediaWiki,1.6.9,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,724,47,4,3,17,13,0,0
MediaWiki,1.6.10,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,724,47,4,3,17,13,0,0
MediaWiki,1.6.11,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,724,47,4,3,17,13,0,0
MediaWiki,1.6.12,15,4,5,15,12,0,0,0,0,0,0,0,0,0,1,0,724,47,4,3,0,0,0,0
MediaWiki,1.7.0,15,4,5,24,13,0,0,0,0,0,0,0,0,0,1,0,670,69,4,3,0,0,0,0
MediaWiki,1.7.1,15,4,5,24,13,0,0,0,0,0,0,0,0,0,1,0,670,69,4,3,0,0,0,0
MediaWiki,1.7.2,15,4,5,24,13,0,0,0,0,0,0,0,0,0,1,0,670,70,4,3,0,0,0,0
MediaWiki,1.7.3,15,4,5,24,13,0,0,0,0,0,0,0,0,0,1,0,670,70,4,3,0,0,0,0
MediaWiki,1.8.0,11,8,6,33,20,0,0,0,0,0,0,0,0,0,5,0,405,96,3,5,0,0,0,0
MediaWiki,1.8.1,11,8,6,33,20,0,0,0,0,0,0,0,0,0,5,0,406,96,3,5,0,0,0,0
MediaWiki,1.8.2,11,8,6,33,20,0,0,0,0,0,0,0,0,0,5,0,406,96,3,5,0,0,0,0
MediaWiki,1.8.3,11,8,6,33,20,0,0,0,0,0,0,0,0,0,5,0,406,96,3,5,20,14,0,0
MediaWiki,1.8.4,11,8,6,33,20,0,0,0,0,0,0,0,0,0,5,0,406,96,3,5,20,14,0,0
MediaWiki,1.8.5,11,8,6,33,20,0,0,0,0,0,0,0,0,0,5,0,406,96,3,5,20,14,0,0
MediaWiki,1.9.0,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,0,0,0,0
MediaWiki,1.9.1,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,0,0,0,0
MediaWiki,1.9.2,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,21,14,0,0
MediaWiki,1.9.3,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,21,14,0,0
MediaWiki,1.9.4,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,21,14,0,0
MediaWiki,1.9.5,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,21,14,0,0
MediaWiki,1.9.6,11,5,6,32,43,0,0,0,0,0,0,0,0,0,5,0,416,95,3,4,21,14,0,0
MediaWiki,1.10.0,20,8,7,34,43,0,1,0,0,0,0,0,0,0,5,0,434,124,3,4,0,0,0,0
MediaWiki,1.10.1,20,8,7,34,43,0,1,0,0,0,0,0,0,0,5,0,434,124,3,4,0,0,0,0
MediaWiki,1.10.2,20,8,7,34,43,0,1,0,0,0,0,0,0,0,5,0,434,124,3,4,23,14,0,0
MediaWiki,1.10.3,20,8,7,34,43,0,1,0,0,0,0,0,0,0,5,0,434,124,3,4,23,14,0,0
MediaWiki,1.10.4,20,8,7,34,43,0,1,0,0,0,0,0,0,0,5,0,434,124,3,4,23,14,0,0
MediaWiki,1.11.0,23,8,7,37,37,0,1,0,0,0,0,1,0,0,5,0,405,153,3,4,0,0,0,0
MediaWiki,1.11.1,23,8,7,37,37,0,1,0,0,0,0,1,0,0,5,0,405,153,3,4,28,20,0,0
MediaWiki,1.11.2,23,8,7,37,37,0,1,0,0,0,0,1,0,0,5,0,405,153,3,4,28,20,0,0
MediaWiki,1.12.0,23,7,7,46,36,0,1,0,0,0,0,2,0,0,6,0,422,165,3,3,35,26,0,0
MediaWiki,1.12.1,23,7,7,46,35,0,1,0,0,0,0,2,0,0,6,0,422,165,3,3,35,26,0,0
MediaWiki,1.12.2,23,7,7,46,35,0,1,0,0,0,0,2,0,0,6,0,422,165,3,3,36,26,0,0
MediaWiki,1.12.3,23,7,7,46,35,0,1,0,0,0,0,2,0,0,6,0,422,165,3,3,36,26,0,0
MediaWiki,1.12.4,23,7,7,46,35,0,1,0,0,0,0,2,0,0,6,0,422,165,3,3,36,26,0,0
MediaWiki,1.13.0,10,5,7,50,43,0,1,0,0,0,0,2,0,0,6,0,437,175,3,3,40,37,0,0
MediaWiki,1.13.1,10,5,7,50,43,0,1,0,0,0,0,2,0,0,6,0,437,175,3,3,40,37,0,0
MediaWiki,1.13.2,10,5,7,50,43,0,1,0,0,0,0,2,0,0,6,0,437,175,3,3,40,37,0,0
MediaWiki,1.13.3,10,5,7,50,43,0,1,0,0,0,0,2,0,0,6,0,437,175,3,3,41,37,0,0
MediaWiki,1.13.4,10,5,7,50,43,0,1,0,0,0,0,2,0,0,6,0,437,175,3,3,41,37,0,0
MediaWiki,1.13.5,10,5,7,50,43,0,1,0,0,0,0,2,0,0,6,0,437,175,3,3,41,37,0,0
MediaWiki,1.14.0,10,5,7,55,50,0,1,0,0,0,0,2,0,0,6,0,446,182,3,4,44,41,0,0
MediaWiki,1.14.1,10,5,7,55,50,0,1,0,0,0,0,2,0,0,6,0,446,182,3,4,44,41,0,0
MediaWiki,1.15.0,10,5,7,54,51,0,1,0,0,0,0,2,0,0,6,0,459,190,4,4,39,42,0,0
MediaWiki,1.15.1,10,5,7,54,51,0,1,0,0,0,0,2,0,0,6,0,459,190,4,4,39,42,0,0
MediaWiki,1.15.2,10,5,7,54,51,0,1,0,0,0,0,2,0,0,7,0,459,190,4,4,39,44,0,0
MediaWiki,1.15.3,10,5,7,54,51,0,1,0,0,0,0,2,0,0,7,0,459,190,4,4,39,44,0,0
MediaWiki,1.15.4,10,5,7,54,51,0,1,0,0,0,0,2,0,0,7,0,459,190,4,4,39,44,0,0
MediaWiki,1.15.5,10,5,7,54,51,0,1,0,0,0,0,2,0,0,7,0,459,190,4,4,39,44,0,0
MediaWiki,1.16.0,9,4,7,64,60,0,1,0,0,0,0,2,0,0,7,0,524,397,3,4,54,47,0,0
MediaWiki,1.16.1,9,4,7,64,60,0,1,0,0,0,0,2,0,0,7,0,524,397,3,4,54,47,0,0
MediaWiki,1.16.2,9,4,7,64,60,0,1,0,0,0,0,2,0,0,7,0,524,397,3,4,54,47,0,0
MediaWiki,1.16.3,9,4,7,64,60,0,1,0,0,0,0,2,0,0,7,0,524,397,3,4,54,47,0,0
MediaWiki,1.16.4,9,4,7,64,60,0,1,0,0,0,0,2,0,0,7,0,524,397,3,4,54,47,0,0
MediaWiki,1.16.5,9,4,7,64,62,0,1,0,0,0,0,2,0,0,7,0,524,397,3,4,54,47,0,0
MediaWiki,1.17.0,6,4,9,72,68,0,1,0,0,0,0,2,0,0,9,0,533,409,2,3,61,60,0,0
MediaWiki,1.17.1,6,4,9,72,68,0,1,0,0,0,0,2,0,0,9,0,533,409,2,3,61,60,0,0
MediaWiki,1.17.2,6,4,9,72,68,0,1,0,0,0,0,2,0,0,9,0,533,409,2,3,61,60,0,0
MediaWiki,1.17.3,6,4,9,72,68,0,1,0,0,0,0,2,0,0,9,0,533,409,2,3,61,60,0,0
MediaWiki,1.17.4,6,4,9,72,68,0,1,0,0,0,0,2,0,0,9,0,533,409,2,3,61,60,0,0
MediaWiki,1.17.5,6,4,9,72,68,0,1,0,0,0,0,2,0,0,9,0,533,409,2,3,61,60,0,0
MediaWiki,1.18.0,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.1,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.2,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.3,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.4,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.5,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.18.6,7,3,11,77,87,0,1,0,0,0,2,3,0,0,13,0,629,486,4,1,66,75,0,0
MediaWiki,1.19.0,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.1,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.2,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.3,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.4,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.5,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.6,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.7,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.8,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.9,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,69,79,0,0
MediaWiki,1.19.10,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,79,0,0
MediaWiki,1.19.11,7,3,12,88,91,0,2,0,0,0,2,3,0,0,14,0,537,480,4,1,70,80,0,0
